Hipposideros caffer	Hipposideros caffer	Hipposideros	Mammal
Hipposideros cineraceus	Hipposideros cineraceus	Hipposideros	Mammal
Hipposideros larvatus	Hipposideros larvatus	Hipposideros	Mammal
Hipposideros lekaguli	Hipposideros lekaguli	Hipposideros	Mammal
Hipposideros pomona	Hipposideros pomona	Hipposideros	Mammal
Hipposideros pratti	Hipposideros pratti	Hipposideros	Mammal
Hipposideros ruber	Hipposideros ruber	Hipposideros	Mammal
Hipposideros turpis	Hipposideros turpis	Hipposideros	Mammal
Hirundo rustica	Hirundo rustica	Hirundo	Avian
Homo sapiens	Homo sapiens	Homo	Mammal
Hoolock hoolock	Hoolock hoolock	Hoolock	Mammal
host	None	None	Unknown
Hybomys univittatus	Hybomys univittatus	Hybomys	Mammal
Hydroprogne caspia	Hydroprogne caspia	Hydroprogne	Avian
Hyla simplex	Hyla simplex	Hyla	Other
Hylobatidae	Hylobatidae	Hylobatidae	Mammal
Hylomyscus	Hylomyscus	Hylomyscus	Mammal
Hylomyscus stella	Hylomyscus stella	Hylomyscus	Mammal
Hylopetes	Hylopetes	Hylopetes	Mammal
Hyporhamphus australis	Hyporhamphus australis	Hyporhamphus	Other
Hyporhamphus sajori	Hyporhamphus sajori	Hyporhamphus	Other
Hypothymis azurea	Hypothymis azurea	Hypothymis	Avian
Hypselotriton orientalis	Hypselotriton orientalis	Hypselotriton	Other
Hypsugo pulveratus	Hypsugo pulveratus	Hypsugo	Mammal
Hystricidae	Hystricidae	Hystricidae	Mammal
Hystrix brachyura	Hystrix brachyura	Hystrix	Mammal
Hystrix cristata	Hystrix cristata	Hystrix	Mammal
Ia io	Ia io	Ia	Mammal
Istigobius decoratus	Istigobius decoratus	Istigobius	Other
Istigobius goldmanni	Istigobius goldmanni	Istigobius	Other
Istigobius nigroocellatus	Istigobius nigroocellatus	Istigobius	Other
Leiopotherapon unicolor	Leiopotherapon unicolor	Leiopotherapon	Other
Leopardus guttulus	Leopardus guttulus	Leopardus	Mammal
Leopoldamys edwardsi	Leopoldamys edwardsi	Leopoldamys	Mammal
Leopoldamys neilli	Leopoldamys neilli	Leopoldamys	Mammal
Leopoldamys sabanus	Leopoldamys sabanus	Leopoldamys	Mammal
Lepidotrigla sp.	Lepidotrigla sp.	Lepidotrigla	Other
Leptobrachium hainanense	Leptobrachium hainanense	Leptobrachium	Other
Lethenteron camtschaticum	Lethenteron camtschaticum	Lethenteron	Other
Leucogeranus leucogeranus	Leucogeranus leucogeranus	Leucogeranus	Avian
Limnochromis auritus	Limnochromis auritus	Limnochromis	Other
Lophuromys chrysopus	Lophuromys chrysopus	Lophuromys	Mammal
Luposicya lupus	None	None	Unknown
Lyroderma lyra	Lyroderma lyra	Lyroderma	Mammal
Macaca fascicularis	Macaca fascicularis	Macaca	Mammal
Macaca leonina	Macaca leonina	Macaca	Mammal
Macaca mulatta	Macaca mulatta	Macaca	Mammal
Macaca nemestrina	Macaca nemestrina	Macaca	Mammal
Macroglossus sobrinus	Macroglossus sobrinus	Macroglossus	Mammal
Macronycteris commersonii	Macronycteris commersonii	Macronycteris	Mammal
Macronycteris gigas	Macronycteris gigas	Macronycteris	Mammal
Macroramphosus scolopax	Macroramphosus scolopax	Macroramphosus	Other
Malacomys longipes	Malacomys longipes	Malacomys	Mammal
Malacorhynchus membranaceus	Malacorhynchus membranaceus	Malacorhynchus	Avian
Mandrillus sphinx	Mandrillus sphinx	Mandrillus	Mammal
Manis javanica	Manis javanica	Manis	Mammal
Mareca falcata	Mareca falcata	Mareca	Avian
Mareca penelope	Mareca penelope	Mareca	Avian
Mareca strepera	Mareca strepera	Mareca	Avian
Marmota caudata	Marmota caudata	Marmota	Mammal
Marmota himalayana	Marmota himalayana	Marmota	Mammal
Marmota sibirica	Marmota sibirica	Marmota	Mammal
Mastomys erythroleucus	Mastomys erythroleucus	Mastomys	Mammal
Mastomys natalensis	Mastomys natalensis	Mastomys	Mammal
Mastomys sp.	Mastomys sp.	Mastomys	Mammal
Megaerops kusnotoi	Megaerops kusnotoi	Megaerops	Mammal
Melanotaenia fluviatilis	Melanotaenia fluviatilis	Melanotaenia	Other
Meleagris gallopavo	Meleagris gallopavo	Meleagris	Avian
Meriones meridianus	Meriones meridianus	Meriones	Mammal
Meriones unguiculatus	Meriones unguiculatus	Meriones	Mammal
Merops apiaster	Merops apiaster	Merops	Avian
Microgale brevicaudata	Microgale brevicaudata	Microgale	Mammal
Microhyla pulchra	Microhyla pulchra	Microhyla	Other
Microtus agrestis	Microtus agrestis	Microtus	Mammal
Miniopterus	Miniopterus	Miniopterus	Mammal
Miniopterus africanus	Miniopterus africanus	Miniopterus	Mammal
Miniopterus fraterculus	Miniopterus fraterculus	Miniopterus	Mammal
Miniopterus fuliginosus	Miniopterus fuliginosus	Miniopterus	Mammal
Miniopterus gleni	Miniopterus gleni	Miniopterus	Mammal
Miniopterus griveaudi	Miniopterus griveaudi	Miniopterus	Mammal
Miniopterus inflatus	Miniopterus inflatus	Miniopterus	Mammal
Miniopterus magnater	Miniopterus magnater	Miniopterus	Mammal
Miniopterus mahafaliensis	Miniopterus mahafaliensis	Miniopterus	Mammal
Miniopterus manavi	Miniopterus manavi	Miniopterus	Mammal
Miniopterus minor	Miniopterus minor	Miniopterus	Mammal
Miniopterus mossambicus	Miniopterus mossambicus	Miniopterus	Mammal
Miniopterus natalensis	Miniopterus natalensis	Miniopterus	Mammal
Miniopterus orianae oceanensis	Miniopterus orianae oceanensis	Miniopterus	Mammal
Miniopterus pusillus	Miniopterus pusillus	Miniopterus	Mammal
Miniopterus schreibersii	Miniopterus schreibersii	Miniopterus	Mammal
Miniopterus sororculus	Miniopterus sororculus	Miniopterus	Mammal
Miniopterus sp. B76	Miniopterus sp. B76	Miniopterus	Mammal
Miniopterus sp. clade 1 TD-2020	Miniopterus sp. clade 1 TD-2020	Miniopterus	Mammal
Miniopterus sp. clade 10 TD-2020	Miniopterus sp. clade 10 TD-2020	Miniopterus	Mammal
Minous monodactylus	Minous monodactylus	Minous	Other
Mops condylurus	Mops condylurus	Mops	Mammal
Mops leucogaster	Mops leucogaster	Mops	Mammal
Mops leucostigma	Mops leucostigma	Mops	Mammal
Mops pumilus	Mops pumilus	Mops	Mammal
Mormopterus francoismoutoui	Mormopterus francoismoutoui	Mormopterus	Mammal
Muraenolepis sp.	Muraenolepis sp.	Muraenolepis	Other
Mus	Mus	Mus	Mammal
Mus caroli	Mus caroli	Mus	Mammal
Mus musculoides	Mus musculoides	Mus	Mammal
Mus musculus	Mus musculus	Mus	Mammal
Mus musculus castaneus	Mus musculus castaneus	Mus	Mammal
Mus pahari	Mus pahari	Mus	Mammal
Mus setulosus	Mus setulosus	Mus	Mammal
Mustela lutreola	Mustela lutreola	Mustela	Mammal
Mustela putorius furo	Mustela putorius furo	Mustela	Mammal
Mustelidae	Mustelidae	Mustelidae	Mammal
Myocastor coypus	Myocastor coypus	Myocastor	Mammal
Myodes	Myodes	Myodes	Mammal
Myodes rufocanus	Myodes rufocanus	Myodes	Mammal
Myonycteris angolensis	Myonycteris angolensis	Myonycteris	Mammal
Myotis adversus	Myotis adversus	Myotis	Mammal
Myotis austroriparius	Myotis austroriparius	Myotis	Mammal
Myotis bechsteinii	Myotis bechsteinii	Myotis	Mammal
Myotis capaccinii	Myotis capaccinii	Myotis	Mammal
Myotis chinensis	Myotis chinensis	Myotis	Mammal
Myotis ciliolabrum	Myotis ciliolabrum	Myotis	Mammal
Myotis daubentonii	Myotis daubentonii	Myotis	Mammal
Myotis davidii	Myotis davidii	Myotis	Mammal
Myotis emarginatus	Myotis emarginatus	Myotis	Mammal
Myotis fimbriatus	Myotis fimbriatus	Myotis	Mammal
Myotis goudotii	Myotis goudotii	Myotis	Mammal
Myotis horsfieldii	Myotis horsfieldii	Myotis	Mammal
Myotis laniger	Myotis laniger	Myotis	Mammal
Myotis longipes	Myotis longipes	Myotis	Mammal
Myotis macrodactylus	Myotis macrodactylus	Myotis	Mammal
Myotis myotis	Myotis myotis	Myotis	Mammal
Myotis myotis/blythii	Myotis myotis/blythii	Myotis	Mammal
Myotis mystacinus	Myotis mystacinus	Myotis	Mammal
Myotis nattereri	Myotis nattereri	Myotis	Mammal
Myotis pequinius	Myotis pequinius	Myotis	Mammal
Myotis petax	Myotis petax	Myotis	Mammal
Myotis pilosus	Myotis pilosus	Myotis	Mammal
Myotis siligorensis	Myotis siligorensis	Myotis	Mammal
Myotis sp.	Myotis sp.	Myotis	Mammal
Myrrophis chinensis	Myrrophis chinensis	Myrrophis	Other
Neodon clarkei	Neodon clarkei	Neodon	Mammal
Neodon fuscus	Neodon fuscus	Neodon	Mammal
Neogale vison	Neogale vison	Neogale	Mammal
Neolamprologus brevis	Neolamprologus brevis	Neolamprologus	Other
Neolamprologus kungweensis	Neolamprologus kungweensis	Neolamprologus	Other
Neolamprologus tetracanthus	Neolamprologus tetracanthus	Neolamprologus	Other
Niviventer confucianus	Niviventer confucianus	Niviventer	Mammal
Niviventer eha	Niviventer eha	Niviventer	Mammal
Niviventer fulvescens	Niviventer fulvescens	Niviventer	Mammal
Niviventer huang	Niviventer huang	Niviventer	Mammal
Niviventer niviventer	Niviventer niviventer	Niviventer	Mammal
Niviventer sp.	Niviventer sp.	Niviventer	Mammal
Numida meleagris	Numida meleagris	Numida	Avian
Numididae	Numididae	Numididae	Avian
Nyctalus noctula	Nyctalus noctula	Nyctalus	Mammal
Nyctalus plancyi	Nyctalus plancyi	Nyctalus	Mammal
Nyctereutes procyonoides	Nyctereutes procyonoides	Nyctereutes	Mammal
Nycteris	Nycteris	Nycteris	Mammal
Nycteris hispida	Nycteris hispida	Nycteris	Mammal
