organism	group
Bat astrovirus Hp/Guangxi/WW08/2007	BatAstV
Bat astrovirus Ii/Guangxi/JY10/2007	BatAstV
Bat astrovirus Ii/Guangxi/JY11/2007	BatAstV
Bat astrovirus Ii/Guangxi/JY14/2007	BatAstV
Bat astrovirus LS1	BatAstV
Bat astrovirus Mek/YN/hwbc3	BatAstV
Bat astrovirus Mf/WOM990	BatAstV
Bat astrovirus Mf/XMM137	BatAstV
Bat astrovirus Mm/NX25-1/Hainan	BatAstV
Bat astrovirus Mm/NX25-2/Hainan	BatAstV
Bat astrovirus Mm/NX28/Hainan	BatAstV
Bat astrovirus Mm/NX29/Hainan	BatAstV
Bat astrovirus Ms/Anhui/A894/2005	BatAstV
Bat astrovirus Ms/Anhui/A909/2005	BatAstV
Bat astrovirus Ms/BT017-1/Hainan	BatAstV
Bat astrovirus Ms/BT017-2/Hainan	BatAstV
Bat astrovirus Ms/CM031/Hainan	BatAstV
Bat astrovirus Ms/Fujian/A1196/2006	BatAstV
Bat astrovirus Ms/Guangxi/A629/2005	BatAstV
Bat astrovirus Ms/HK61/CHN/2007	BatAstV
Bat astrovirus Ms/LS007/Hainan	BatAstV
Bat astrovirus Ms/LS022/Hainan	BatAstV
Bat astrovirus Ms/YG042/Hainan	BatAstV
Bat astrovirus Ms/YG043/Hainan	BatAstV
Bat astrovirus Ms/YY41/CHN/2008	BatAstV
Bat astrovirus Ms/sy10/CHN/2008	BatAstV
Bat astrovirus Ms/sy12/CHN/2008	BatAstV
Bat astrovirus Ms/sy14/CHN/2008	BatAstV
Bat astrovirus Ms/sy16/CHN/2008	BatAstV
Bat astrovirus Ms/sy18/CHN/2008	BatAstV
Bat astrovirus Ms/sy20/CHN/2008	BatAstV
Bat astrovirus Ms/sy22/CHN/2008	BatAstV
Bat astrovirus Ms/sy23/CHN/2008	BatAstV
Bat astrovirus Ms/sy25/CHN/2008	BatAstV
Bat astrovirus Ms/sy3/CHN/2008	BatAstV
Bat astrovirus Ms/sy32/CHN/2008	BatAstV
Bat astrovirus Ms/sy37/CHN/2008	BatAstV
Bat astrovirus Ms/sy6/CHN/2008	BatAstV
Bat astrovirus Ms/sy8/CHN/2008	BatAstV
Bat astrovirus My/Guangxi/JY01/2007	BatAstV
Bat astrovirus My/Guangxi/JY06/2007	BatAstV
Bat astrovirus My/Guangxi/JY07/2007	BatAstV
Bat astrovirus Myh/SD13/Hainan	BatAstV
Bat astrovirus Myh/SD16-1/Hainan	BatAstV
Bat astrovirus Myh/SD16-2/Hainan	BatAstV
Bat astrovirus Myl/YN/hsac2	BatAstV
Bat astrovirus Myr/Anhui/A900/2005	BatAstV
Bat astrovirus Myr/Jiangxi/A819/2005	BatAstV
Bat astrovirus Myr/QX60-1/Guangxi	BatAstV
Bat astrovirus Myr/QX60-2/Guangxi	BatAstV
Bat astrovirus N58-42/Germany/2008	BatAstV
Bat astrovirus N58-49/Germany/2008	BatAstV
