# Manually curated annotations TSV file
# The TSV should not have a header and should have exactly three columns:
# id to match existing metadata, field name, and field value
# If there are multiple annotations for the same id and field, then the last value is used
# Lines starting with '#' are treated as comments
# Any '#' after the field value are treated as comments.
FJ430560	note	ORF1a
FJ430561	note	ORF1a
FJ430562	note	ORF1a
FJ476293	note	collection date is the earliest date published
FJ476295	note	collection date is the earliest date published
FJ538929	note	ORF2
FJ538930	note	ORF2
FJ538931	note	ORF2
FJ538932	note	ORF2
FJ538933	note	ORF2
FJ538934	note	ORF2
FJ538935	note	ORF2
FJ538936	note	ORF2
FJ538937	note	ORF2
FJ538938	note	ORF2
FJ538939	note	ORF2
FJ538940	note	ORF2
FJ538941	note	ORF2
FJ538942	note	ORF2
FJ538943	note	ORF2
FJ538944	note	ORF2
FJ538945	note	ORF2
FJ538946	note	ORF2
FJ755338	note	ORF1a
FJ755339	note	ORF1a
FJ755340	note	ORF1a
FJ755341	note	ORF1a
FJ755342	note	ORF1a
FJ755343	note	ORF1a
FJ755344	note	ORF1a
FJ755345	note	ORF1a
FJ755346	note	ORF1a
FJ755347	note	ORF1a
FJ755348	note	ORF1a
FJ755349	note	ORF1a
FJ755350	note	ORF1a
FJ755351	note	ORF1a
FJ755352	note	ORF1a
FJ755353	note	ORF1a
FJ755354	note	ORF1a
FJ755355	note	ORF1a
FJ755356	note	ORF1a
FJ755357	note	ORF1a
FJ755358	note	ORF1a
FJ755359	note	ORF1a
FJ755360	note	ORF1a
FJ755361	note	ORF1a
FJ755362	note	ORF1a
FJ755363	note	ORF1a
FJ755364	note	ORF2
FJ755365	note	ORF2
FJ755366	note	ORF2
FJ755367	note	ORF2
FJ755368	note	ORF2
FJ755369	note	ORF2
FJ755370	note	ORF2
FJ755371	note	ORF2
FJ755372	note	ORF2
FJ755373	note	ORF2
FJ755374	note	ORF2
FJ755375	note	ORF2
FJ755376	note	ORF2
FJ755377	note	ORF2
FJ755378	note	ORF2
FJ755379	note	ORF2
FJ755380	note	ORF2
FJ755381	note	ORF2
FJ755382	note	ORF2
FJ755383	note	ORF2
FJ755384	note	ORF2
FJ755385	note	ORF2
